Name,ID,Type,SKU,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 default,Attribute 6 default
Kamal Bib Cock - Galaxy  GLX-2312,27,simple,KMLGLX2312,1,0,visible,,,,,taxable,,1,1,,0,0,0.62,,,,1,,370,475,"Bathroom, Bathroom> Faucets",,,https://i.postimg.cc/pdYmj9Yq/Galaxy.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass,1,0,,Package Content,Bib Cock with Flange,1,0,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Inlet Connection Size,15MM,1,0,Brand Name,Kamal,1,0,,
Kamal Long Body Bib Cock - Orion ORN-2612,28,simple,KMLORN2612,1,0,visible,,,,,taxable,,1,3,,0,0,0.4,,,,1,,456,585,"Bathroom, Bathroom> Faucets",,,https://i.postimg.cc/0Q70bGVj/ORN-2612.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass,1,0,,Package Content,Bib Cock with Flange,1,0,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Inlet Connection Size,15MM,1,0,Brand Name,Kamal,1,0,,
Kamal Bib Cock - FLT  FLT-3412,29,simple,KMLFLT3412,1,0,visible,,,,,taxable,,1,3,,0,0,0.4,,,,1,,409,525,"Bathroom, Bathroom> Faucets",,,https://i.postimg.cc/BnSk3k7b/FLT.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass,1,0,,Package Content,Bib Cock with Flange,1,0,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Inlet Connection Size,15MM,1,0,Brand Name,Kamal,1,0,,
Kamal Long Body Bib Cock - Fusion  FUS-3314,30,simple,KMLFUS3314,1,0,visible,,,,,taxable,,1,1,,0,0,0.5,,,,1,,495,635,"Bathroom, Bathroom> Faucets",,,https://i.postimg.cc/9MCqgPF6/Fusion-long-2.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass,1,0,,Package Content,Bib Cock with Flange,1,0,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Inlet Connection Size,15MM,1,0,Brand Name,Kamal,1,0,,
Kamal Bib Cock - Fusion  FUS-3312,31,simple,KMLFUS3312,1,0,visible,,,,,taxable,,1,9,,0,0,0.4,,,,1,,459,585,"Bathroom, Bathroom> Faucets",,,https://i.postimg.cc/C5NC4hTV/FUS-3312.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass,1,0,,Package Content,Bib Cock with Flange,1,0,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Inlet Connection Size,15MM,1,0,Brand Name,Kamal,1,0,,
Kamal Bib Cock - Liva  LIV-3212,32,simple,KMLLIV3212,1,0,visible,,,,,taxable,,1,9,,0,0,0.5,,,,1,,565,725,"Bathroom, Bathroom> Faucets",,,https://i.postimg.cc/tTnC5YFK/Liva.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass,1,0,,Package Content,Bib Cock with Flange,1,0,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Inlet Connection Size,15MM,1,0,Brand Name,Kamal,1,0,,
Kamal Long Body Bib Cock - Onyx  ONX-6414,33,simple,KMLONX6414,1,0,visible,,,,,taxable,,1,6,,0,0,0.5,,,,1,,728,935,"Bathroom, Bathroom> Faucets",,,https://i.postimg.cc/Z5Nc1c4n/Onyx-long-body.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass,1,0,,Package Content,Bib Cock with Flange,1,0,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Inlet Connection Size,15MM,1,0,Brand Name,Kamal,1,0,,
Kamal Long Body Bib Cock - Liva  LIV-3214,34,simple,KMLLIV3214,1,0,visible,,,,,taxable,,1,1,,0,0,0.4,,,,1,,610,785,"Bathroom, Bathroom> Faucets",,,https://i.postimg.cc/8sQGw4TW/Liva-long-body.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass,1,0,,Package Content,Bib Cock with Flange,1,0,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Inlet Connection Size,15MM,1,0,Brand Name,Kamal,1,0,,
Kamal Glass Holder - Diplomat  ACC-1282,35,simple,KMLACC1282,1,0,visible,,,,,taxable,,1,2,,0,0,0.3,,,,1,,421,540,"Accessories, Accessories>Glass Holder",,,https://i.postimg.cc/LsMr7hKd/Diplomat-ACC1282.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass,1,0,,Package Content,Glass Holder only,1,0,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,,,,,Brand Name,Kamal,1,0,,
Kamal Glass Holder - Diplomat Heavy ACC-1281,36,simple,KMLACC1281,1,0,visible,,,,,taxable,,1,18,,0,0,0.4,,,,1,,401,515,"Accessories, Accessories>Glass Holder",,,https://i.postimg.cc/xdSJpr0x/Diplomat-ACC1281.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass,1,0,,Package Content,Glass Holder only,1,0,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,,,,,Brand Name,Kamal,1,0,,
Kamal Soap Dish - Radisson,37,simple,KMLACC1261,1,0,visible,,,,,taxable,,1,19,,0,0,0.2,,,,1,,358,460,"Accessories, Accessories>Soap Dish",,,https://i.postimg.cc/hGpDLNh7/Radisson-ACC1261.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass,1,0,,Package Content,Soap Dish Only,1,0,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,,,,,Brand Name,Kamal,1,0,,
Kamal Soap Dish - Plaza ACC-1361,38,simple,KMLACC1361,1,0,visible,,,,,taxable,,1,10,,0,0,0.2,,,,1,,156,200,"Accessories, Accessories>Soap Dish",,,https://i.postimg.cc/85zCxNxH/Plassa-ACC1361.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass,1,0,,Package Content,Soap Dish Only,1,0,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,,,,,Brand Name,Kamal,1,0,,
Kamal Soap Dish - Gamma  ACC-0956,39,simple,KMLACC0956,1,0,visible,,,,,taxable,,1,5,,0,0,0.35,,,,1,,105,135,"Accessories, Accessories>Soap Dish",,,https://i.postimg.cc/26kqm4Ln/Gamma.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Stainless Steel,1,0,,Package Content,Soap Dish Only,1,0,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,,,,,Brand Name,Kamal,1,0,,
Kamal Soap Dish - Classic Heavy  ACC-0983,40,simple,KMLACC0983,1,0,visible,,,,,taxable,,1,1,,0,0,0.3,,,,1,,312,400,"Accessories, Accessories>Soap Dish",,,https://i.postimg.cc/Kjs30RzB/Classic-Heavy.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass,1,0,,Package Content,Soap Dish Only,1,0,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,,,,,Brand Name,Kamal,1,0,,
Kamal Soap Dish - Alpha  ACC-0954,41,simple,KMLACC0954,1,0,visible,,,,,taxable,,1,5,,0,0,0.3,,,,1,,105,135,"Accessories, Accessories>Soap Dish",,,https://i.postimg.cc/FHwg9nh3/Alpha-ACC0954.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Stainless Steel,1,0,,Package Content,Soap Dish Only,1,0,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,,,,,Brand Name,Kamal,1,0,,
Kamal Straight Shelf (3x1) - Neo ACC-1174,42,simple,KMLACC1174,1,0,visible,,,,,taxable,,1,8,,0,0,1.1,,,,1,,331,425,"Accessories, Accessories>Towel Rack",,,https://i.postimg.cc/MG1v29ss/Neo3x1-ACC1174-2.jpg,,,,,,,,,,Finish,Elegant,1,0,Material,Acrylic,1,0,,Package Content,Shelf Only,1,0,Key Feature,Long Lasting and Easy to Clean..,1,0,,,,,,Brand Name,Kamal,1,0,,
Kamal Glass Holder (2x1) ACC-1171,43,simple,KMLACC1171,1,0,visible,,,,,taxable,,1,10,,0,0,0.3,,,,1,,84,108,"Accessories, Accessories>Glass Holder",,,https://i.postimg.cc/L8FC47yL/Neo-2x1-ACC1171.jpg,,,,,,,,,,Finish,Elegant,1,0,Material,Acrylic,1,0,,Package Content,Glass Holder only,1,0,Key Feature,Long Lasting and Easy to Clean..,1,0,,,,,,Brand Name,Kamal,1,0,,
Kamal Soap Dish and Glass Holder  ACC-1011,44,simple,KMLACC1011,1,0,visible,,,,,taxable,,1,4,,0,0,0.4,,,,1,,533,685,"Accessories, Accessories>Glass Holder",,,https://i.postimg.cc/dQHc1qdd/ACC1011.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass,1,0,,Package Content,Soap Dish Only,1,0,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,,,,,Brand Name,Kamal,1,0,,
Kamal Soap Glass Holder - Kamal  ACC-1006,45,simple,KMLACC1006,1,0,visible,,,,,taxable,,1,6,,0,0,0.35,,,,1,,304,390,"Accessories, Accessories>Glass Holder",,,https://i.postimg.cc/m2n4dbgR/ACC1006.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass,1,0,,Package Content,Glass Holder only,1,0,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,,,,,Brand Name,Kamal,1,0,,
Kamal Glass Holder - Esteem  ACC-1002,46,simple,KMLACC1002,1,0,visible,,,,,taxable,,1,10,,0,0,0.3,,,,1,,206,265,"Accessories, Accessories>Glass Holder",,,https://i.postimg.cc/25mKGJhr/Esteem-ACC1002.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Stainless Steel,1,0,,Package Content,Glass Holder only,1,0,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,,,,,Brand Name,Kamal,1,0,,
Kamal Towel Ring - Plaza  ACC-1364,47,simple,KMLACC1364,1,0,visible,,,,,taxable,,1,20,,0,0,0.27,,,,1,,253,325,"Accessories, Accessories> Towel Rod/Ring",,,https://i.postimg.cc/FRy2bLTC/Plassa-ACC1364.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Stainless Steel,1,0,,Package Content,Towel Ring Only,1,0,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,,,,,Brand Name,Kamal,1,0,,
Kamal Towel Ring - Royal ACC-1111,48,simple,KMLACC1111,1,0,visible,,,,,taxable,,1,1,,0,0,0.25,,,,1,,245,315,"Accessories, Accessories> Towel Rod/Ring",,,https://i.postimg.cc/pV0swC5Y/Royal-ACC1111.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass,1,0,,Package Content,Towel Ring Only,1,0,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,,,,,Brand Name,Kamal,1,0,,
Kamal Towel Ring - Crown  ACC-1110,49,simple,KMLACC1110,1,0,visible,,,,,taxable,,1,20,,0,0,0.25,,,,1,,343,440,"Accessories, Accessories> Towel Rod/Ring",,,https://i.postimg.cc/W433HsB7/Crown-ACC1110.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass,1,0,,Package Content,Towel Ring Only,1,0,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,,,,,Brand Name,Kamal,1,0,,
Kamal Towel Ring - Radisson  ACC-1264,50,simple,KMLACC1264,1,0,visible,,,,,taxable,,1,8,,0,0,0.25,,,,1,,456,585,"Accessories, Accessories> Towel Rod/Ring",,,https://i.postimg.cc/JnLFhhRN/Radisson-ACC1264.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass,1,0,,Package Content,Towel Ring Only,1,0,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,,,,,Brand Name,Kamal,1,0,,
Kamal Towel Ring - Maxima ACC-1113,51,simple,KMLACC1113,1,0,visible,,,,,taxable,,1,8,,0,0,0.25,,,,1,,343,440,"Accessories, Accessories> Towel Rod/Ring",,,https://i.postimg.cc/GhL1QXwF/Maxima-ACC1113.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass,1,0,,Package Content,Towel Ring Only,1,0,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,,,,,Brand Name,Kamal,1,0,,
Kamal Towel Ring  - Diplomat  ACC-1284,52,simple,KMLACC1284,1,0,visible,,,,,taxable,,1,6,,0,0,0.25,,,,1,,533,685,"Accessories, Accessories> Towel Rod/Ring",,,https://i.postimg.cc/pT5dPqXh/Diplomat-ACC1284.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass,1,0,,Package Content,Towel Ring Only,1,0,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,,,,,Brand Name,Kamal,1,0,,
Kamal Towel Ring - Triangular  ACC-1101,53,simple,KMLACC1101,1,0,visible,,,,,taxable,,1,7,,0,0,0.49,,,,1,,84,108,"Accessories, Accessories> Towel Rod/Ring",,,https://i.postimg.cc/50smM9yN/Triangular-ACC1101.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Stainless Steel,1,0,,Package Content,Towel Ring Only,1,0,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,,,,,Brand Name,Kamal,1,0,,
Kamal Towel Ring - Esteem  ACC-1105,54,simple,KMLACC1105,1,0,visible,,,,,taxable,,1,27,,0,0,0.3,,,,1,,104,133,"Accessories, Accessories> Towel Rod/Ring",,,https://i.postimg.cc/T3PfRCtd/Esteem-ACC1105.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Stainless Steel,1,0,,Package Content,Towel Ring Only,1,0,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,,,,,Brand Name,Kamal,1,0,,
